DATE,TIME,SPO2,PULSE
2020-10-28, 14:42:58, 94, 66
2020-10-28, 14:42:59, 94, 66
2020-10-28, 14:43:00, 94, 66
2020-10-28, 14:43:01, 94, 66
2020-10-28, 14:43:02, 94, 65
2020-10-28, 14:43:03, 94, 65
2020-10-28, 14:43:04, 93, 65
2020-10-28, 14:43:05, 93, 65
2020-10-28, 14:43:06, 93, 65
2020-10-28, 14:43:07, 93, 65
2020-10-28, 14:43:08, 93, 65
2020-10-28, 14:43:09, 93, 65
2020-10-28, 14:43:10, 93, 64
2020-10-28, 14:43:11, 93, 64
2020-10-28, 14:43:12, 93, 64
2020-10-28, 14:43:13, 93, 64
2020-10-28, 14:43:14, 94, 64
2020-10-28, 14:43:15, 94, 63
2020-10-28, 14:43:16, 94, 63
2020-10-28, 14:43:17, 94, 63
2020-10-28, 14:43:18, 94, 62
2020-10-28, 14:43:19, 94, 62
2020-10-28, 14:43:20, 94, 61
2020-10-28, 14:43:21, 94, 61
2020-10-28, 14:43:22, 94, 60
2020-10-28, 14:43:23, 94, 60
2020-10-28, 14:43:24, 94, 60
2020-10-28, 14:43:25, 94, 60
2020-10-28, 14:43:26, 94, 61
2020-10-28, 14:43:27, 94, 61
2020-10-28, 14:43:28, 94, 62
2020-10-28, 14:43:29, 94, 63
2020-10-28, 14:43:30, 93, 63
2020-10-28, 14:43:31, 93, 63
2020-10-28, 14:43:32, 93, 63
2020-10-28, 14:43:33, 93, 63
2020-10-28, 14:43:34, 93, 63
2020-10-28, 14:43:35, 93, 63
2020-10-28, 14:43:36, 93, 63
2020-10-28, 14:43:37, 93, 62
2020-10-28, 14:43:38, 93, 62
2020-10-28, 14:43:39, 93, 62
2020-10-28, 14:43:40, 93, 62
2020-10-28, 14:43:41, 93, 61
2020-10-28, 14:43:42, 93, 61
2020-10-28, 14:43:43, 93, 61
2020-10-28, 14:43:44, 93, 61
2020-10-28, 14:43:45, 93, 61
2020-10-28, 14:43:46, 93, 61
2020-10-28, 14:43:47, 93, 61
2020-10-28, 14:43:48, 93, 61
2020-10-28, 14:43:49, 93, 61
2020-10-28, 14:43:50, 93, 62
2020-10-28, 14:43:51, 93, 62
2020-10-28, 14:43:52, 93, 62
2020-10-28, 14:43:53, 93, 63
2020-10-28, 14:43:54, 93, 64
2020-10-28, 14:43:55, 93, 64
2020-10-28, 14:43:56, 93, 65
2020-10-28, 14:43:57, 93, 66
2020-10-28, 14:43:58, 93, 66
2020-10-28, 14:43:59, 94, 66
2020-10-28, 14:44:00, 94, 67
2020-10-28, 14:44:01, 94, 67
2020-10-28, 14:44:02, 93, 67
2020-10-28, 14:44:03, 93, 68
2020-10-28, 14:44:04, 93, 68
2020-10-28, 14:44:05, 93, 69
2020-10-28, 14:44:06, 94, 70
2020-10-28, 14:44:07, 94, 70
2020-10-28, 14:44:08, 94, 70
2020-10-28, 14:44:09, 94, 71
2020-10-28, 14:44:10, 94, 71
2020-10-28, 14:44:11, 94, 71
2020-10-28, 14:44:12, 94, 71
2020-10-28, 14:44:13, 95, 70
2020-10-28, 14:44:14, 95, 70
2020-10-28, 14:44:15, 95, 70
2020-10-28, 14:44:16, 95, 70
2020-10-28, 14:44:17, 95, 70
2020-10-28, 14:44:18, 95, 71
2020-10-28, 14:44:19, 95, 71
2020-10-28, 14:44:20, 95, 71
2020-10-28, 14:44:21, 95, 71
2020-10-28, 14:44:22, 95, 71
2020-10-28, 14:44:23, 95, 71
2020-10-28, 14:44:24, 95, 71
2020-10-28, 14:44:25, 95, 71
2020-10-28, 14:44:26, 95, 71
2020-10-28, 14:44:27, 95, 72
2020-10-28, 14:44:28, 95, 71
2020-10-28, 14:44:29, 95, 71
2020-10-28, 14:44:30, 95, 71
2020-10-28, 14:44:31, 95, 71
2020-10-28, 14:44:32, 94, 71
2020-10-28, 14:44:33, 94, 71
2020-10-28, 14:44:34, 94, 71
2020-10-28, 14:44:35, 94, 70
2020-10-28, 14:44:36, 94, 70
2020-10-28, 14:44:37, 94, 70
2020-10-28, 14:44:38, 94, 70
2020-10-28, 14:44:39, 94, 71
2020-10-28, 14:44:40, 94, 71
2020-10-28, 14:44:41, 94, 71
2020-10-28, 14:44:42, 94, 71
2020-10-28, 14:44:43, 93, 71
2020-10-28, 14:44:44, 93, 71
2020-10-28, 14:44:45, 93, 71
2020-10-28, 14:44:46, 93, 70
2020-10-28, 14:44:47, 93, 70
2020-10-28, 14:44:48, 94, 70
2020-10-28, 14:44:49, 94, 70
2020-10-28, 14:44:50, 94, 70
2020-10-28, 14:44:51, 94, 70
2020-10-28, 14:44:52, 94, 70
2020-10-28, 14:44:53, 94, 70
2020-10-28, 14:44:54, 94, 70
2020-10-28, 14:44:55, 94, 70
2020-10-28, 14:44:56, 95, 69
2020-10-28, 14:44:57, 95, 69
2020-10-28, 14:44:58, 95, 68
2020-10-28, 14:44:59, 95, 68
2020-10-28, 14:45:00, 95, 68
2020-10-28, 14:45:01, 95, 67
2020-10-28, 14:45:02, 95, 67
2020-10-28, 14:45:03, 95, 66
2020-10-28, 14:45:04, 95, 66
2020-10-28, 14:45:05, 95, 66
2020-10-28, 14:45:06, 95, 65
2020-10-28, 14:45:07, 95, 65
2020-10-28, 14:45:08, 95, 65
2020-10-28, 14:45:09, 95, 65
2020-10-28, 14:45:10, 95, 65
2020-10-28, 14:45:11, 95, 65
2020-10-28, 14:45:12, 96, 65
2020-10-28, 14:45:13, 96, 65
2020-10-28, 14:45:14, 96, 65
2020-10-28, 14:45:15, 95, 65
2020-10-28, 14:45:16, 95, 65
2020-10-28, 14:45:17, 95, 65
2020-10-28, 14:45:18, 95, 65
2020-10-28, 14:45:19, 95, 65
2020-10-28, 14:45:20, 95, 65
2020-10-28, 14:45:21, 95, 64
2020-10-28, 14:45:22, 95, 64
2020-10-28, 14:45:23, 95, 64
2020-10-28, 14:45:24, 95, 63
2020-10-28, 14:45:25, 95, 62
2020-10-28, 14:45:26, 95, 61
2020-10-28, 14:45:27, 95, 61
2020-10-28, 14:45:28, 95, 60
2020-10-28, 14:45:29, 95, 60
2020-10-28, 14:45:30, 95, 60
2020-10-28, 14:45:31, 95, 59
2020-10-28, 14:45:32, 95, 59
2020-10-28, 14:45:33, 95, 59
2020-10-28, 14:45:34, 94, 60
2020-10-28, 14:45:35, 94, 60
2020-10-28, 14:45:36, 94, 61
2020-10-28, 14:45:37, 94, 61
2020-10-28, 14:45:38, 94, 62
2020-10-28, 14:45:39, 94, 63
2020-10-28, 14:45:40, 94, 63
2020-10-28, 14:45:41, 94, 63
2020-10-28, 14:45:42, 94, 64
2020-10-28, 14:45:43, 94, 65
2020-10-28, 14:45:44, 93, 65
2020-10-28, 14:45:45, 93, 65
2020-10-28, 14:45:46, 93, 66
2020-10-28, 14:45:47, 93, 66
2020-10-28, 14:45:48, 93, 67
2020-10-28, 14:45:49, 93, 67
2020-10-28, 14:45:50, 93, 67
2020-10-28, 14:45:51, 93, 68
2020-10-28, 14:45:52, 93, 68
2020-10-28, 14:45:53, 93, 68
2020-10-28, 14:45:54, 93, 68
2020-10-28, 14:45:55, 93, 67
2020-10-28, 14:45:56, 94, 67
2020-10-28, 14:45:57, 94, 67
2020-10-28, 14:45:58, 94, 67
2020-10-28, 14:45:59, 94, 67
2020-10-28, 14:46:00, 94, 67
2020-10-28, 14:46:01, 94, 67
2020-10-28, 14:46:02, 94, 67
2020-10-28, 14:46:03, 95, 67
2020-10-28, 14:46:04, 95, 67
2020-10-28, 14:46:05, 95, 67
